,unique_id,ds,cutoff,NHITS,Real_value
5522,BTC,2023-02-05,2023-01-15,0.0034484258,0.004817003051899925
5543,BTC,2023-02-06,2023-01-16,0.008576158,0.005281715469338832
5564,BTC,2023-02-07,2023-01-17,0.0050035254,0.0067507060240399545
5585,BTC,2023-02-08,2023-01-18,0.007224579,0.004562510548599847
5606,BTC,2023-02-09,2023-01-19,0.00313649,0.008102775971011892
5627,BTC,2023-02-10,2023-01-20,0.008737565,0.005632553993736836
5648,BTC,2023-02-11,2023-01-21,0.0060608713,0.0027822622458626867
5669,BTC,2023-02-12,2023-01-22,0.004481069,0.0042798740361286655
5690,BTC,2023-02-13,2023-01-23,0.0052552866,0.005738733459543806
5711,BTC,2023-02-14,2023-01-24,0.003980531,0.008210618779396897
5732,BTC,2023-02-15,2023-01-25,0.008738213,0.01050580833976889
5753,BTC,2023-02-16,2023-01-26,0.004089855,0.012152615334329042
5774,BTC,2023-02-17,2023-01-27,0.00864565,0.010621129725306926
5795,BTC,2023-02-18,2023-01-28,0.0051647555,0.0043362930026741965
5816,BTC,2023-02-19,2023-01-29,0.009337286,0.007156921567543892
5837,BTC,2023-02-20,2023-01-30,0.007999814,0.00768021592989741
5858,BTC,2023-02-21,2023-01-31,0.0062414804,0.008163948278918207
5879,BTC,2023-02-22,2023-02-01,0.007527652,0.00773417987258922
5900,BTC,2023-02-23,2023-02-02,0.009558227,0.008669879739075436
5921,BTC,2023-02-24,2023-02-03,0.0058480324,0.007640174020999748
5942,BTC,2023-02-25,2023-02-04,0.005203889,0.0044927290946463775
5963,BTC,2023-02-26,2023-02-05,0.0066330414,0.00515880712140437
5984,BTC,2023-02-27,2023-02-06,0.005257798,0.006890953554076812
6005,BTC,2023-02-28,2023-02-07,0.006035049,0.005102639440684744
6026,BTC,2023-03-01,2023-02-08,0.004890645,0.007400835098177324
6047,BTC,2023-03-02,2023-02-09,0.007831483,0.004358490269356676
6068,BTC,2023-03-03,2023-02-10,0.0051956335,0.01386508901493995
6089,BTC,2023-03-04,2023-02-11,0.0035892162,0.0024107180315988998
6110,BTC,2023-03-05,2023-02-12,0.0052863834,0.004905936753406178
6131,BTC,2023-03-06,2023-02-13,0.005781645,0.0034090079310911004
6152,BTC,2023-03-07,2023-02-14,0.0072935857,0.005420150225119297
6173,BTC,2023-03-08,2023-02-15,0.007868643,0.006173323498584487
6194,BTC,2023-03-09,2023-02-16,0.007750858,0.01099373097332518
6215,BTC,2023-03-10,2023-02-17,0.007095851,0.01144554784740608
6236,BTC,2023-03-11,2023-02-18,0.004414536,0.009793581223916893
6257,BTC,2023-03-12,2023-02-19,0.008537374,0.012181920296257892
6278,BTC,2023-03-13,2023-02-20,0.007486824,0.016378247186283248
6299,BTC,2023-03-14,2023-02-21,0.0070770225,0.018553183691358555
6320,BTC,2023-03-15,2023-02-22,0.0067913313,0.011557601651642315
